DR_NO,DATE OCC,TIME OCC,AREA,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Status Desc,LOCATION,LAT,LON,City,Crime Subtype,Perp Age,Perp Sex,Arrest
230505748,02/17/2023 12:00:00 AM,1720,5,529,210,ROBBERY,0,X,Invest Cont,1400 E  ANAHEIM                      ST,33.7809,-118.2455,Los Angeles,ROBBERY,,,False
200107516,02/20/2020 12:00:00 AM,1320,1,138,440,THEFT PLAIN - PETTY ($950 & UNDER),0,X,Invest Cont,200 E  2ND                          ST,34.0503,-118.2433,Los Angeles,THEFT PLAIN - PETTY ($950 & UNDER),,,False
220106547,02/13/2022 12:00:00 AM,1030,1,182,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,M,Invest Cont,900 S  FIGUEROA                     ST,34.0462,-118.2628,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
210116921,09/16/2021 12:00:00 AM,815,1,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,F,Adult Arrest,6TH,34.0412,-118.2436,Los Angeles,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,True
221406855,03/02/2022 12:00:00 AM,800,14,1434,510,VEHICLE - STOLEN,0,,Invest Cont,13000    VENICE                       BL,33.9974,-118.4463,Los Angeles,VEHICLE - STOLEN,,,False
221513876,08/20/2022 12:00:00 AM,2000,15,1543,330,BURGLARY FROM VEHICLE,25,F,Invest Cont,12300    BURBANK                      BL,34.1721,-118.401,Los Angeles,BURGLARY FROM VEHICLE,,,False
231515706,10/04/2023 12:00:00 AM,1800,15,1501,310,BURGLARY,33,F,Invest Cont,7700    VARNA                        AV,34.2105,-118.4247,Los Angeles,BURGLARY,,,False
222019104,10/04/2022 12:00:00 AM,943,20,2029,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),32,M,Invest Cont,300 S  VERMONT                      AV,34.0691,-118.2916,Los Angeles,SHOPLIFTING - PETTY THEFT ($950 & UNDER),,,False
220709745,06/09/2021 12:00:00 AM,800,7,747,901,VIOLATION OF RESTRAINING ORDER,39,F,Invest Cont,1100 S  LONGWOOD                     AV,34.0557,-118.3389,Los Angeles,VIOLATION OF RESTRAINING ORDER,,,False
231217661,08/14/2023 12:00:00 AM,800,12,1265,761,BRANDISH WEAPON,45,F,Invest Cont,1000 W  81ST                         PL,33.9655,-118.2929,Los Angeles,BRANDISH WEAPON,,,False
201905172,01/27/2020 12:00:00 AM,1535,19,1906,624,BATTERY - SIMPLE ASSAULT,16,M,Invest Cont,POLK,34.3219,-118.4337,Los Angeles,BATTERY - SIMPLE ASSAULT,,,False
