ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13173112,JG379622,2023-08-07 12:00:00,040XX S STATE ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,APARTMENT,False,False,213,2.0,3.0,38.0,11,1176945.0,1878239.0,2023,08/19/2023 03:40:26 PM,41.821229339,-87.626385072,"(41.821229339, -87.626385072)"
13157653,JG361295,2023-07-29 20:00:00,001XX E CHICAGO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1833,18.0,2.0,8.0,15,1177039.0,1905748.0,2023,08/19/2023 03:40:26 PM,41.896713733,-87.625207916,"(41.896713733, -87.625207916)"
12143035,JD340745,2020-08-21 22:00:00,012XX W RANDOLPH ST,0460,BATTERY,SIMPLE,RESTAURANT,False,False,1224,12.0,27.0,28.0,08B,1168117.0,1901165.0,2020,08/28/2020 03:42:32 PM,41.884335057,-87.658109159,"(41.884335057, -87.658109159)"
12686688,JF227059,2022-05-02 01:19:00,047XX W MAYPOLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1113,11.0,28.0,25.0,14,1144836.0,1901044.0,2022,01/03/2023 03:40:27 PM,41.884473865,-87.74360353,"(41.884473865, -87.74360353)"
13160746,JG364186,2023-08-01 01:05:00,004XX S CLARK ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,True,False,122,1.0,34.0,32.0,08A,1175593.0,1898394.0,2023,08/19/2023 03:40:26 PM,41.876566573,-87.630739918,"(41.876566573, -87.630739918)"
12391955,JE262789,2021-06-12 00:00:00,003XX W LAKE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,122,1.0,42.0,32.0,15,1174141.0,1901723.0,2021,06/19/2021 03:40:01 PM,41.885734047,-87.635971821,"(41.885734047, -87.635971821)"
12641037,JF172439,2022-03-13 11:34:00,031XX W 26TH ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1033,10.0,12.0,30.0,18,1156029.0,1886572.0,2022,01/03/2023 03:40:27 PM,41.844542724,-87.702891376,"(41.844542724, -87.702891376)"
12516880,JE415136,2021-10-19 13:18:00,061XX S NORMAL BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,711,7.0,20.0,68.0,14,1174010.0,1864350.0,2021,10/26/2021 03:48:48 PM,41.783182292,-87.637564499,"(41.783182292, -87.637564499)"
12130292,JD326026,2020-08-08 19:00:00,054XX W CORTEZ ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1524,15.0,37.0,25.0,04A,1139649.0,1906462.0,2020,08/15/2020 03:43:11 PM,41.899437761,-87.762518782,"(41.899437761, -87.762518782)"
12648885,JF181851,2022-03-21 18:45:00,014XX N LATROBE AVE,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,2532,25.0,37.0,25.0,08A,1141103.0,1908997.0,2022,01/03/2023 03:40:27 PM,41.906367424,-87.757115639,"(41.906367424, -87.757115639)"
12042477,JD222244,2020-05-02 12:15:00,042XX W MADISON ST,0560,ASSAULT,SIMPLE,TAVERN / LIQUOR STORE,False,False,1115,11.0,28.0,26.0,08A,1148091.0,1899675.0,2020,05/09/2020 03:41:55 PM,41.880655171,-87.731685867,"(41.880655171, -87.731685867)"
